"Name","ACT  ","MSG  ","AD  ","DSJ  ","REP ","Joined","Last message"
"Kristine Matel","0.05%","2","1","0","0","2021-04-28","2021-04-28"
"Crypto Morgz","0.05%","2","1","0","0","2021-04-22","2021-04-22"
"RAIN","0.04%","1","1","0","0","2021-04-28","2021-04-28"
"horny man","0.04%","2","1","0","0","2021-04-26","2021-04-26"
"Chameleon Leather","0.04%","2","1","0","0","2021-04-22","2021-04-22"
"Jeremiah W","0.04%","1","1","0","0","2021-04-22","2021-04-22"
"Sebastian R","0.04%","4","1","0","0","2021-04-22","2021-04-22"
"RR","0.04%","1","1","0","0","2021-04-22","2021-04-22"
"Pier","0.03%","1","1","0","0","2021-04-30","2021-04-30"
"Noda Chicken","0.03%","1","1","0","0","2021-04-22","2021-04-22"
"terryg","0.02%","2","1","0","0","2021-04-22","2021-04-22"
"Dogeme ","0.02%","1","1","0","0","2021-04-22","2021-04-22"
"Martin","0.01%","3","1","0","0","2021-04-22","2021-04-22"
"Max","0.01%","1","1","0","0","2021-04-22","2021-04-22"
"T P","0.0%","1","1","0","0","2021-05-01","2021-05-01"
"Ferdinand Dushku","0.0%","1","1","3","0","2021-04-27","2021-04-30"
"Ryder","0.0%","1","1","3","0","2021-04-23","2021-04-26"
"Socom","0.0%","1","1","2","0","2021-04-22","2021-04-24"
"Crypto Corleone","0.0%","1","1","0","0","2021-04-22","2021-04-22"
"Korale $ZEP","0.0%","1","1","0","0","2021-04-22","2021-04-22"
